#From Table 1 in Mitra et al. (2019), JGR Biogeo 10.1029/2019JG005148
#mm and dd are assumed
#yyyy,mm,dd,DBH_cm,H_m,AGB_gCm-2,Root_gCm-2
#Sun Feb  2 04:58:33 PM EST 2025: changing mm,dd from 6,15 to 7,1
2004,7,1,24.5,11.9,3727,925
2005,7,1,25.8,12.6,4228,1050
2006,7,1,26.8,13.5,4814,1195
2007,7,1,28,15.1,5642,1402
2008,7,1,28.7,16,6236,1547
2009,7,1,29.4,16.5,6741,1671
2010,7,1,31.6,17.4,2892,720
2011,7,1,33.2,17.7,3182,794
2012,7,1,34.4,18.3,3377,846
2013,7,1,35.7,19,3736,946
2014,7,1,36.6,19.5,4252,1088
